Country Name,Country Code,Series Name,Series Code,YR2015
Algeria,DZA,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,1126700
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,NA 
American Samoa,ASM,Urban population,SP.URB.TOTL,48689
American Samoa,ASM,"Population, total",SP.POP.TOTL,55812
American Samoa,ASM,"Population ages 80 and above, female",SP.POP.80UP.FE,NA 
American Samoa,ASM,"Population ages 80 and above, male",SP.POP.80UP.MA,NA 
American Samoa,ASM,"Population ages 15-64, male",SP.POP.1564.MA.IN,NA 
American Samoa,ASM,"Population ages 15-64, female",SP.POP.1564.FE.IN,NA 
American Samoa,ASM,"Population ages 0-14, male",SP.POP.0014.MA.IN,NA 
American Samoa,ASM,"Population ages 0-14, female",SP.POP.0014.FE.IN,NA 
American Samoa,ASM,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,NA 
American Samoa,ASM,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,NA 
American Samoa,ASM,"Population, female",SP.POP.TOTL.FE.IN,NA 
American Samoa,ASM,"Population, male",SP.POP.TOTL.MA.IN,NA 
American Samoa,ASM,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,NA 
American Samoa,ASM,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,NA 
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,NA 
Andorra,AND,Urban population,SP.URB.TOTL,68919
Andorra,AND,"Population, total",SP.POP.TOTL,78011
Andorra,AND,"Population ages 80 and above, female",SP.POP.80UP.FE,NA 
Andorra,AND,"Population ages 80 and above, male",SP.POP.80UP.MA,NA 
Andorra,AND,"Population ages 15-64, male",SP.POP.1564.MA.IN,NA 
Andorra,AND,"Population ages 15-64, female",SP.POP.1564.FE.IN,NA 
Andorra,AND,"Population ages 0-14, male",SP.POP.0014.MA.IN,NA 
Andorra,AND,"Population ages 0-14, female",SP.POP.0014.FE.IN,NA 
Andorra,AND,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,NA 
Andorra,AND,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,NA 
Andorra,AND,"Population, female",SP.POP.TOTL.FE.IN,NA 
Andorra,AND,"Population, male",SP.POP.TOTL.MA.IN,NA 
Andorra,AND,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,NA 
Andorra,AND,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,NA 
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.398
Angola,AGO,Urban population,SP.URB.TOTL,17691524
Angola,AGO,"Population, total",SP.POP.TOTL,27884381
Angola,AGO,"Population ages 80 and above, female",SP.POP.80UP.FE,42360
Angola,AGO,"Population ages 80 and above, male",SP.POP.80UP.MA,27003
Angola,AGO,"Population ages 15-64, male",SP.POP.1564.MA.IN,6942530
Angola,AGO,"Population ages 15-64, female",SP.POP.1564.FE.IN,7171196
Angola,AGO,"Population ages 0-14, male",SP.POP.0014.MA.IN,6569082
Angola,AGO,"Population ages 0-14, female",SP.POP.0014.FE.IN,6566961
Angola,AGO,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,206.219
Angola,AGO,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,279.712
Angola,AGO,"Population, female",SP.POP.TOTL.FE.IN,14093137
Angola,AGO,"Population, male",SP.POP.TOTL.MA.IN,13791244
Angola,AGO,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,354980
Angola,AGO,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,279632
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.483
Antigua and Barbuda,ATG,Urban population,SP.URB.TOTL,23392
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,93566
Antigua and Barbuda,ATG,"Population ages 80 and above, female",SP.POP.80UP.FE,903
Antigua and Barbuda,ATG,"Population ages 80 and above, male",SP.POP.80UP.MA,668
Antigua and Barbuda,ATG,"Population ages 15-64, male",SP.POP.1564.MA.IN,30839
Antigua and Barbuda,ATG,"Population ages 15-64, female",SP.POP.1564.FE.IN,33973
Antigua and Barbuda,ATG,"Population ages 0-14, male",SP.POP.0014.MA.IN,10691
Antigua and Barbuda,ATG,"Population ages 0-14, female",SP.POP.0014.FE.IN,10430
Antigua and Barbuda,ATG,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,106.995
Antigua and Barbuda,ATG,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,153.01
Antigua and Barbuda,ATG,"Population, female",SP.POP.TOTL.FE.IN,48540
Antigua and Barbuda,ATG,"Population, male",SP.POP.TOTL.MA.IN,45026
Antigua and Barbuda,ATG,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,4137
Antigua and Barbuda,ATG,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,3497
Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.249571410287
Arab World,ARB,Urban population,SP.URB.TOTL,229821020
Arab World,ARB,"Population, total",SP.POP.TOTL,396028278
Arab World,ARB,"Population ages 80 and above, female",SP.POP.80UP.FE,1576085
Arab World,ARB,"Population ages 80 and above, male",SP.POP.80UP.MA,1113708
Arab World,ARB,"Population ages 15-64, male",SP.POP.1564.MA.IN,130196813
Arab World,ARB,"Population ages 15-64, female",SP.POP.1564.FE.IN,118168563
Arab World,ARB,"Population ages 0-14, male",SP.POP.0014.MA.IN,66800201
Arab World,ARB,"Population ages 0-14, female",SP.POP.0014.FE.IN,63829336
Arab World,ARB,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,114.967677958773
Arab World,ARB,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,162.10692262359
Arab World,ARB,"Population, female",SP.POP.TOTL.FE.IN,191123765
Arab World,ARB,"Population, male",SP.POP.TOTL.MA.IN,204904513
Arab World,ARB,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,9125866
Arab World,ARB,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,7907501
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.068
Argentina,ARG,Urban population,SP.URB.TOTL,39467043
Argentina,ARG,"Population, total",SP.POP.TOTL,43131966
Argentina,ARG,"Population ages 80 and above, female",SP.POP.80UP.FE,740905
Argentina,ARG,"Population ages 80 and above, male",SP.POP.80UP.MA,354306
Argentina,ARG,"Population ages 15-64, male",SP.POP.1564.MA.IN,13598655
Argentina,ARG,"Population ages 15-64, female",SP.POP.1564.FE.IN,14031690
Argentina,ARG,"Population ages 0-14, male",SP.POP.0014.MA.IN,5536053
Argentina,ARG,"Population ages 0-14, female",SP.POP.0014.FE.IN,5338019
Argentina,ARG,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,82.139
Argentina,ARG,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,152.24
Argentina,ARG,"Population, female",SP.POP.TOTL.FE.IN,22115261
Argentina,ARG,"Population, male",SP.POP.TOTL.MA.IN,21016705
Argentina,ARG,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,2745553
Argentina,ARG,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,1881996
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.467
Armenia,ARM,Urban population,SP.URB.TOTL,1845585
Armenia,ARM,"Population, total",SP.POP.TOTL,2925553
Armenia,ARM,"Population ages 80 and above, female",SP.POP.80UP.FE,48811
Armenia,ARM,"Population ages 80 and above, male",SP.POP.80UP.MA,28481
Armenia,ARM,"Population ages 15-64, male",SP.POP.1564.MA.IN,935027
Armenia,ARM,"Population ages 15-64, female",SP.POP.1564.FE.IN,1084851
Armenia,ARM,"Population ages 0-14, male",SP.POP.0014.MA.IN,313716
Armenia,ARM,"Population ages 0-14, female",SP.POP.0014.FE.IN,273735
Armenia,ARM,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,75.161
Armenia,ARM,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,175.814
Armenia,ARM,"Population, female",SP.POP.TOTL.FE.IN,1550223
Armenia,ARM,"Population, male",SP.POP.TOTL.MA.IN,1375330
Armenia,ARM,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,191637
Armenia,ARM,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,126587
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.725
Aruba,ABW,Urban population,SP.URB.TOTL,44979
Aruba,ABW,"Population, total",SP.POP.TOTL,104341
Aruba,ABW,"Population ages 80 and above, female",SP.POP.80UP.FE,1355
Aruba,ABW,"Population ages 80 and above, male",SP.POP.80UP.MA,748
Aruba,ABW,"Population ages 15-64, male",SP.POP.1564.MA.IN,34249
Aruba,ABW,"Population ages 15-64, female",SP.POP.1564.FE.IN,37915
Aruba,ABW,"Population ages 0-14, male",SP.POP.0014.MA.IN,9940
Aruba,ABW,"Population ages 0-14, female",SP.POP.0014.FE.IN,9575
Aruba,ABW,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,71.506
Aruba,ABW,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,115.343
Aruba,ABW,"Population, female",SP.POP.TOTL.FE.IN,54743
Aruba,ABW,"Population, male",SP.POP.TOTL.MA.IN,49598
Aruba,ABW,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,7253
Aruba,ABW,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,5409
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.4
Australia,AUS,Urban population,SP.URB.TOTL,20410546
Australia,AUS,"Population, total",SP.POP.TOTL,23815995
Australia,AUS,"Population ages 80 and above, female",SP.POP.80UP.FE,551907
Australia,AUS,"Population ages 80 and above, male",SP.POP.80UP.MA,379154
Australia,AUS,"Population ages 15-64, male",SP.POP.1564.MA.IN,7899670
Australia,AUS,"Population ages 15-64, female",SP.POP.1564.FE.IN,7880342
Australia,AUS,"Population ages 0-14, male",SP.POP.0014.MA.IN,2311139
Australia,AUS,"Population ages 0-14, female",SP.POP.0014.FE.IN,2187070
Australia,AUS,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,NA 
Australia,AUS,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,NA 
Australia,AUS,"Population, female",SP.POP.TOTL.FE.IN,11948693
Australia,AUS,"Population, male",SP.POP.TOTL.MA.IN,11867302
Australia,AUS,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,1881281
Australia,AUS,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,1656493
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.190243902439
Austria,AUT,Urban population,SP.URB.TOTL,4988134
Austria,AUT,"Population, total",SP.POP.TOTL,8642699
Austria,AUT,"Population ages 80 and above, female",SP.POP.80UP.FE,284206
Austria,AUT,"Population ages 80 and above, male",SP.POP.80UP.MA,152035
Austria,AUT,"Population ages 15-64, male",SP.POP.1564.MA.IN,2907318
Austria,AUT,"Population ages 15-64, female",SP.POP.1564.FE.IN,2886703
Austria,AUT,"Population ages 0-14, male",SP.POP.0014.MA.IN,626489
Austria,AUT,"Population ages 0-14, female",SP.POP.0014.FE.IN,593860
Austria,AUT,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,44.687
Austria,AUT,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,84.688
Austria,AUT,"Population, female",SP.POP.TOTL.FE.IN,4411651
Austria,AUT,"Population, male",SP.POP.TOTL.MA.IN,4231048
Austria,AUT,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,931088
Austria,AUT,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,697241
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.266
Azerbaijan,AZE,Urban population,SP.URB.TOTL,5279540
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,9649341
Azerbaijan,AZE,"Population ages 80 and above, female",SP.POP.80UP.FE,72176
Azerbaijan,AZE,"Population ages 80 and above, male",SP.POP.80UP.MA,39706
Azerbaijan,AZE,"Population ages 15-64, male",SP.POP.1564.MA.IN,3392252
Azerbaijan,AZE,"Population ages 15-64, female",SP.POP.1564.FE.IN,3496370
Azerbaijan,AZE,"Population ages 0-14, male",SP.POP.0014.MA.IN,1182734
Azerbaijan,AZE,"Population ages 0-14, female",SP.POP.0014.FE.IN,1024447
Azerbaijan,AZE,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,89.019
Azerbaijan,AZE,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,160.775
Azerbaijan,AZE,"Population, female",SP.POP.TOTL.FE.IN,4847591
Azerbaijan,AZE,"Population, male",SP.POP.TOTL.MA.IN,4801750
Azerbaijan,AZE,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,326774
Azerbaijan,AZE,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,226763
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.088
"Bahamas, The",BHS,Urban population,SP.URB.TOTL,309640
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,374206
"Bahamas, The",BHS,"Population ages 80 and above, female",SP.POP.80UP.FE,2431
"Bahamas, The",BHS,"Population ages 80 and above, male",SP.POP.80UP.MA,1614
"Bahamas, The",BHS,"Population ages 15-64, male",SP.POP.1564.MA.IN,125516
"Bahamas, The",BHS,"Population ages 15-64, female",SP.POP.1564.FE.IN,133877
"Bahamas, The",BHS,"Population ages 0-14, male",SP.POP.0014.MA.IN,45191
"Bahamas, The",BHS,"Population ages 0-14, female",SP.POP.0014.FE.IN,44584
"Bahamas, The",BHS,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,118.763
"Bahamas, The",BHS,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,198.415
"Bahamas, The",BHS,"Population, female",SP.POP.TOTL.FE.IN,192595
"Bahamas, The",BHS,"Population, male",SP.POP.TOTL.MA.IN,181611
"Bahamas, The",BHS,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,14134
"Bahamas, The",BHS,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,10904
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.762
Bahrain,BHR,Urban population,SP.URB.TOTL,1220934
Bahrain,BHR,"Population, total",SP.POP.TOTL,1371851
Bahrain,BHR,"Population ages 80 and above, female",SP.POP.80UP.FE,2234
Bahrain,BHR,"Population ages 80 and above, male",SP.POP.80UP.MA,2048
Bahrain,BHR,"Population ages 15-64, male",SP.POP.1564.MA.IN,683197
Bahrain,BHR,"Population ages 15-64, female",SP.POP.1564.FE.IN,370740
Bahrain,BHR,"Population ages 0-14, male",SP.POP.0014.MA.IN,146896
Bahrain,BHR,"Population ages 0-14, female",SP.POP.0014.FE.IN,139131
Bahrain,BHR,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,58.897
Bahrain,BHR,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,74.471
Bahrain,BHR,"Population, female",SP.POP.TOTL.FE.IN,525096
Bahrain,BHR,"Population, male",SP.POP.TOTL.MA.IN,846755
Bahrain,BHR,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,15225
Bahrain,BHR,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,16662
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.514
Bangladesh,BGD,Urban population,SP.URB.TOTL,53608403
Bangladesh,BGD,"Population, total",SP.POP.TOTL,156256276
Bangladesh,BGD,"Population ages 80 and above, female",SP.POP.80UP.FE,717385
Bangladesh,BGD,"Population ages 80 and above, male",SP.POP.80UP.MA,655047
Bangladesh,BGD,"Population ages 15-64, male",SP.POP.1564.MA.IN,51818196
Bangladesh,BGD,"Population ages 15-64, female",SP.POP.1564.FE.IN,50714949
Bangladesh,BGD,"Population ages 0-14, male",SP.POP.0014.MA.IN,23355677
Bangladesh,BGD,"Population ages 0-14, female",SP.POP.0014.FE.IN,22393137
Bangladesh,BGD,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,109.465
Bangladesh,BGD,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,150.041
Bangladesh,BGD,"Population, female",SP.POP.TOTL.FE.IN,77039125
Bangladesh,BGD,"Population, male",SP.POP.TOTL.MA.IN,79217151
Bangladesh,BGD,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,3931040
Bangladesh,BGD,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,4043278
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.801
Barbados,BRB,Urban population,SP.URB.TOTL,89161
Barbados,BRB,"Population, total",SP.POP.TOTL,285324
Barbados,BRB,"Population ages 80 and above, female",SP.POP.80UP.FE,7263
Barbados,BRB,"Population ages 80 and above, male",SP.POP.80UP.MA,4742
Barbados,BRB,"Population ages 15-64, male",SP.POP.1564.MA.IN,92753
Barbados,BRB,"Population ages 15-64, female",SP.POP.1564.FE.IN,98506
Barbados,BRB,"Population ages 0-14, male",SP.POP.0014.MA.IN,26626
Barbados,BRB,"Population ages 0-14, female",SP.POP.0014.FE.IN,25537
Barbados,BRB,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,74.168
Barbados,BRB,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,124.019
Barbados,BRB,"Population, female",SP.POP.TOTL.FE.IN,147777
Barbados,BRB,"Population, male",SP.POP.TOTL.MA.IN,137547
Barbados,BRB,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,23735
Barbados,BRB,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,18168
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.6243902439025
Belarus,BLR,Urban population,SP.URB.TOTL,7324181
Belarus,BLR,"Population, total",SP.POP.TOTL,9489616
Belarus,BLR,"Population ages 80 and above, female",SP.POP.80UP.FE,255992
Belarus,BLR,"Population ages 80 and above, male",SP.POP.80UP.MA,76885
Belarus,BLR,"Population ages 15-64, male",SP.POP.1564.MA.IN,3184619
Belarus,BLR,"Population ages 15-64, female",SP.POP.1564.FE.IN,3402465
Belarus,BLR,"Population ages 0-14, male",SP.POP.0014.MA.IN,793887
Belarus,BLR,"Population ages 0-14, female",SP.POP.0014.FE.IN,749465
Belarus,BLR,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,82.36
Belarus,BLR,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,245.384
Belarus,BLR,"Population, female",SP.POP.TOTL.FE.IN,5073849
Belarus,BLR,"Population, male",SP.POP.TOTL.MA.IN,4415767
Belarus,BLR,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,921919
Belarus,BLR,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,437261
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.9926829268293
Belgium,BEL,Urban population,SP.URB.TOTL,11034732
Belgium,BEL,"Population, total",SP.POP.TOTL,11274196
Belgium,BEL,"Population ages 80 and above, female",SP.POP.80UP.FE,399373
Belgium,BEL,"Population ages 80 and above, male",SP.POP.80UP.MA,223311
Belgium,BEL,"Population ages 15-64, male",SP.POP.1564.MA.IN,3681262
Belgium,BEL,"Population ages 15-64, female",SP.POP.1564.FE.IN,3630451
Belgium,BEL,"Population ages 0-14, male",SP.POP.0014.MA.IN,980023
Belgium,BEL,"Population ages 0-14, female",SP.POP.0014.FE.IN,937059
Belgium,BEL,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,53.933
Belgium,BEL,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,89.305
Belgium,BEL,"Population, female",SP.POP.TOTL.FE.IN,5732314
Belgium,BEL,"Population, male",SP.POP.TOTL.MA.IN,5541882
Belgium,BEL,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,1164803
Belgium,BEL,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,880597
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.034
Belize,BLZ,Urban population,SP.URB.TOTL,163885
Belize,BLZ,"Population, total",SP.POP.TOTL,360933
Belize,BLZ,"Population ages 80 and above, female",SP.POP.80UP.FE,1683
Belize,BLZ,"Population ages 80 and above, male",SP.POP.80UP.MA,1777
Belize,BLZ,"Population ages 15-64, male",SP.POP.1564.MA.IN,113177
Belize,BLZ,"Population ages 15-64, female",SP.POP.1564.FE.IN,115947
Belize,BLZ,"Population ages 0-14, male",SP.POP.0014.MA.IN,58693
Belize,BLZ,"Population ages 0-14, female",SP.POP.0014.FE.IN,57178
Belize,BLZ,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,128.639
Belize,BLZ,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,220.346
Belize,BLZ,"Population, female",SP.POP.TOTL.FE.IN,180795
Belize,BLZ,"Population, male",SP.POP.TOTL.MA.IN,180138
Belize,BLZ,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,7670
Belize,BLZ,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,8268
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.608
Benin,BEN,Urban population,SP.URB.TOTL,4832681
Benin,BEN,"Population, total",SP.POP.TOTL,10575952
Benin,BEN,"Population ages 80 and above, female",SP.POP.80UP.FE,27273
Benin,BEN,"Population ages 80 and above, male",SP.POP.80UP.MA,16517
Benin,BEN,"Population ages 15-64, male",SP.POP.1564.MA.IN,2820008
Benin,BEN,"Population ages 15-64, female",SP.POP.1564.FE.IN,2863000
Benin,BEN,"Population ages 0-14, male",SP.POP.0014.MA.IN,2308715
Benin,BEN,"Population ages 0-14, female",SP.POP.0014.FE.IN,2242863
Benin,BEN,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,219.592
Benin,BEN,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,266.315
Benin,BEN,"Population, female",SP.POP.TOTL.FE.IN,5305825
Benin,BEN,"Population, male",SP.POP.TOTL.MA.IN,5270127
Benin,BEN,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,199962
Benin,BEN,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,141404
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.0121951219512
Bermuda,BMU,Urban population,SP.URB.TOTL,65239
Bermuda,BMU,"Population, total",SP.POP.TOTL,65239
Bermuda,BMU,"Population ages 80 and above, female",SP.POP.80UP.FE,NA 
Bermuda,BMU,"Population ages 80 and above, male",SP.POP.80UP.MA,NA 
Bermuda,BMU,"Population ages 15-64, male",SP.POP.1564.MA.IN,NA 
Bermuda,BMU,"Population ages 15-64, female",SP.POP.1564.FE.IN,NA 
Bermuda,BMU,"Population ages 0-14, male",SP.POP.0014.MA.IN,NA 
Bermuda,BMU,"Population ages 0-14, female",SP.POP.0014.FE.IN,NA 
Bermuda,BMU,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,NA 
Bermuda,BMU,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,NA 
Bermuda,BMU,"Population, female",SP.POP.TOTL.FE.IN,NA 
Bermuda,BMU,"Population, male",SP.POP.TOTL.MA.IN,NA 
Bermuda,BMU,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,NA 
Bermuda,BMU,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,NA 
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.419
